name,year,fuel,transmission,registration_location,color,assembly,body_type,price_pkr,mileage_km,engine_cc,battery_kwh,feature_count,brand,model
Nissan Sunny 1984,1984,Petrol,Manual,Karachi,Red,Local,Unknown,220000.00000000003,10000.0,1300.0,,0,Nissan,Sunny
Nissan Note MEDALIST 2018,2018,Hybrid,Automatic,Punjab,Dark Metal Grey,Imported,Mini Van,4050000.0,189000.0,1198.0,,13,Nissan,Note
Toyota Passo G 1.3 2006,2006,Petrol,Automatic,Islamabad,Blue,Imported,Hatchback,1970000.0,86263.0,1300.0,,10,Toyota,Passo
Daihatsu Cuore CX Eco 2003,2003,Petrol,Manual,Karachi,Black,Local,Hatchback,919999.9999999999,125000.0,800.0,,4,Daihatsu,Cuore
Toyota Land Cruiser GX 4.2D 1992,1992,Diesel,Automatic,Islamabad,White,Imported,SUV,6300000.0,250000.0,4200.0,,13,Toyota,Land
Hyundai Santro 2000,2000,Petrol,Manual,Lahore,Red,Local,Unknown,715000.0,100000.0,1000.0,,0,Hyundai,Santro
Changan Oshan X7 FutureSense 2022,2022,Petrol,Automatic,Islamabad,Stellar White,Local,Compact SUV,7600000.0,51615.0,1500.0,,22,Changan,Oshan
Daihatsu Cuore CX Eco 2008,2008,Petrol,Manual,Lahore,Blue,Local,Hatchback,890000.0,100000.0,800.0,,5,Daihatsu,Cuore
Honda City i-DSI 2006,2006,Petrol,Manual,Karachi,Blue,Local,Sedan,1920000.0,185000.0,1300.0,,8,Honda,City
Suzuki Cultus Auto Gear Shift 2020,2020,Petrol,Automatic,Karachi,White,Local,Hatchback,3250000.0,113867.0,1000.0,,15,Suzuki,Cultus
Honda Civic EXi Automatic 1998,1998,Petrol,Automatic,Lahore,Blue,Local,Sedan,994999.9999999999,184000.0,1500.0,,8,Honda,Civic
Suzuki Alto VXR 2023,2023,Petrol,Manual,Abbottabad,Solid White,Local,Hatchback,2665000.0,42000.0,660.0,,8,Suzuki,Alto
Toyota Corolla GLi Automatic 1.3 VVTi 2016,2016,Petrol,Automatic,Lahore,Attitude Black,Local,Sedan,4350000.0,51050.0,1300.0,,11,Toyota,Corolla
Honda City 1.3 i-VTEC 2017,2017,Petrol,Manual,Adda jahan khan,Taffeta White,Local,Sedan,3600000.0,40000.0,1300.0,,12,Honda,City
Changan Alsvin 1.5L DCT Lumiere 2021,2021,Petrol,Automatic,Sindh,Space Gray,Local,Sedan,3350000.0,65000.0,1500.0,,19,Changan,Alsvin
Daihatsu Cast Activa G SA III 2022,2022,Petrol,Automatic,Un-Registered,Black,Imported,Hatchback,4000000.0,39000.0,660.0,,14,Daihatsu,Cast
Suzuki Cultus VXR 2021,2021,Petrol,Manual,Punjab,Silky Silver,Local,Hatchback,3400000.0,7894.0,1000.0,,12,Suzuki,Cultus
Toyota Corolla XLi 2007,2007,Petrol,Manual,Sindh,Black Mica,Local,Sedan,1550000.0,274423.0,1300.0,,7,Toyota,Corolla
Honda City 1.3 i-VTEC 2020,2020,Petrol,Manual,Islamabad,Taffeta White,Local,Sedan,3950000.0,60000.0,1300.0,,11,Honda,City
Toyota Corolla XLi VVTi Limited Edition 2010,2010,Petrol,Manual,Lahore,Black,Local,Sedan,2765000.0,87000.0,1300.0,,7,Toyota,Corolla
Honda Civic Oriel 2022,2022,Petrol,Automatic,Lahore,Black,Local,Sedan,7700000.0,32500.0,1500.0,,14,Honda,Civic
Toyota Raize Z 2020,2020,Petrol,Automatic,Lahore,Blue,Imported,Crossover,5690000.0,50800.0,1000.0,,19,Toyota,Raize
Haval H6 HEV 2023,2023,Hybrid,Automatic,Punjab,Diamond Black,Local,SUV,11000000.0,37000.0,1500.0,,14,Haval,H6
Toyota Yaris Sedan ATIV CVT 1.3 2022,2022,Petrol,Automatic,Islamabad,White,Local,Sedan,4550000.0,59500.0,1300.0,,12,Toyota,Yaris
Honda N One Premium Tourer 2022,2022,Petrol,Automatic,Un-Registered,Blue,Imported,Hatchback,3850000.0,10400.0,660.0,,21,Honda,N
Honda BR-V i-VTEC S 2021,2021,Petrol,Automatic,Sindh,Urban Titanium,Local,MPV,4980000.0,45117.0,1500.0,,19,Honda,BR-V
Toyota Raize Z 2020,2020,Petrol,Automatic,Punjab,Shining White Pearl,Imported,Crossover,5900000.0,116000.0,1000.0,,19,Toyota,Raize
Suzuki Mehran VXR Euro II 2018,2018,Petrol,Manual,Lahore,White,Local,Hatchback,1525000.0,88966.0,800.0,,3,Suzuki,Mehran
Haval H6 HEV 2024,2024,Hybrid,Automatic,Punjab,Diamond Black,Imported,SUV,11700000.0,20000.0,1500.0,,13,Haval,H6
Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,Sedan,6625000.0,61300.0,1800.0,,14,Honda,Civic
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Lahore,White,Local,Sedan,5450000.0,61000.0,1800.0,,16,Honda,Civic
Suzuki Mehran VXR Euro II 2016,2016,Petrol,Manual,Lahore,Graphite Grey,Local,Hatchback,1150000.0,121077.0,796.0,,6,Suzuki,Mehran
Suzuki Wagon R 2022,2022,Hybrid,Automatic,Un-Registered,Silver,Imported,Unknown,3650000.0,6600.0,660.0,,0,Suzuki,Wagon
Toyota Corolla XE 1995,1995,Petrol,Manual,Sindh,Grey,Local,Sedan,1220000.0,330000.0,1300.0,,5,Toyota,Corolla
Toyota Prado 1991,1991,Petrol,Automatic,Peshawar,Silver,Local,Unknown,1950000.0,95000.0,3400.0,,8,Toyota,Prado
Suzuki Cultus EURO II 2012,2012,Petrol,Manual,Sindh,Ash Green,Local,Hatchback,1400000.0,155555.0,1000.0,,8,Suzuki,Cultus
Honda City 1.5L ASPIRE CVT 2024,2024,Petrol,Automatic,Islamabad,Taffeta White,Local,Compact sedan,5850000.0,8274.0,1500.0,,20,Honda,City
Honda City Aspire Prosmatec 1.5 i-VTEC 2019,2019,Petrol,Automatic,Sindh,White,Local,Sedan,3925000.0,60000.0,1500.0,,13,Honda,City
Suzuki Alto VXR 2023,2023,Petrol,Manual,Punjab,Silky Silver,Local,Hatchback,2700000.0,14000.0,660.0,,7,Suzuki,Alto
Honda N Box 2022,2022,Petrol,Automatic,Un-Registered,White,Imported,Unknown,3600000.0,15195.0,660.0,,16,Honda,N
Suzuki Wagon R VXR 2016,2016,Petrol,Manual,Lahore,Silky Silver,Local,Hatchback,1825000.0,82000.0,1000.0,,5,Suzuki,Wagon
Toyota Corolla XLi 2007,2007,Petrol,Manual,Faisalabad,White,Local,Sedan,1550000.0,300000.0,1300.0,,7,Toyota,Corolla
Toyota Land Cruiser 1987,1987,Petrol,Automatic,Islamabad,Grey,Local,Unknown,4600000.0,3999.0,3400.0,,8,Toyota,Land
Suzuki Alto VXR 2002,2002,Petrol,Manual,Sindh,Pearl Red,Local,Hatchback,1000000.0,130000.0,1000.0,,5,Suzuki,Alto
Honda Civic VTi Oriel 1.8 i-VTEC 2012,2012,Petrol,Manual,Islamabad,Grey,Local,Sedan,3550000.0,57690.0,1800.0,,19,Honda,Civic
