name,year,fuel,transmission,registration_location,color,assembly,body_type,price_pkr,mileage_km,engine_cc,battery_kwh,feature_count,brand,model,vehicle_age
Toyota Corolla GLi 1.3 VVTi 2011,2011,Petrol,Manual,Lahore,Black,Imported,Sedan,2575000.0,100000.0,1300.0,,9,Toyota,Corolla,14
Toyota Fortuner 2.8 Sigma 4 2021,2021,Diesel,Automatic,Islamabad,Graphite,Local,SUV,15300000.0,58682.0,2800.0,,21,Toyota,Fortuner,4
KIA Sportage FWD 2021,2021,Petrol,Automatic,Islamabad,White,Local,Crossover,6850000.0,36800.0,2000.0,,14,KIA,Sportage,4
Honda City 1.3 i-VTEC 2009,2009,Petrol,Manual,Rawalpindi,Sporty Blue Metallic,Local,Sedan,2690000.0,67000.0,1300.0,,13,Honda,City,16
Mercedes Benz E Class E240 2003,2003,Petrol,Manual,Karachi,Diamond Silver Metallic,Imported,Sedan,3300000.0,83347.0,2600.0,,18,Mercedes Benz,E,22
Toyota Passo Moda G 2022,2022,Petrol,Automatic,Sindh,Maroon,Imported,Hatchback,4400000.0,9608.0,1000.0,,14,Toyota,Passo,3
Honda City i-DSI 2007,2007,Petrol,Manual,Abbottabad,Metallic Grey,Imported,Sedan,1850000.0,70000.0,1300.0,,9,Honda,City,18
Honda Civic 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Islamabad,Taffeta White,Local,Sedan,5125000.0,42189.0,1800.0,,20,Honda,Civic,7
Toyota Corolla Altis Grande CVT-i 1.8 2017,2017,Petrol,Automatic,Islamabad,Super white,Local,Sedan,5400000.0,80000.0,1800.0,,15,Toyota,Corolla,8
Suzuki Mehran VX 2005,2005,Petrol,Manual,Multan,Snow White Pearl,Imported,Hatchback,600000.0,80000.0,800.0,,2,Suzuki,Mehran,20
Toyota Corolla GLi 1.3 VVTi 2009,2009,Petrol,Manual,Sindh,Gun Metallic,Local,Sedan,2200000.0,249201.0,1300.0,,12,Toyota,Corolla,16
Suzuki Mehran VXR Euro II 2016,2016,Petrol,Manual,Lahore,Solid White,Local,Hatchback,1225000.0,71097.0,796.0,,5,Suzuki,Mehran,9
Suzuki Cultus VXL 2002,2002,Petrol,Manual,Karachi,White,Local,Hatchback,790000.0,195000.0,1000.0,,4,Suzuki,Cultus,23
Suzuki Cultus Auto Gear Shift 2020,2020,Petrol,Automatic,Punjab,Silver,Local,Hatchback,3350000.0,64150.0,1000.0,,12,Suzuki,Cultus,5
Suzuki Alto VXR 2021,2021,Petrol,Manual,Lahore,Graphite Grey,Local,Hatchback,2470000.0,80000.0,660.0,,8,Suzuki,Alto,4
Suzuki Alto VXR 2024,2024,Petrol,Manual,Karachi,Solid White,Local,Hatchback,2690000.0,21000.0,660.0,,7,Suzuki,Alto,1
Toyota Raize XS 2020,2020,Petrol,Automatic,Karachi,Shining White Pearl,Imported,Compact SUV,5350000.0,63620.0,1000.0,,16,Toyota,Raize,5
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2012,2012,Petrol,Automatic,Islamabad,Polished Metal Metallic,Local,Sedan,2600000.0,170000.0,1800.0,,14,Honda,Civic,13
Honda City 1.3 i-VTEC Prosmatec 2018,2018,Petrol,Automatic,Islamabad,Taffeta White,Local,Sedan,3750000.0,80000.0,1300.0,,11,Honda,City,7
Nissan Dayz Highway Star X 2014,2014,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,2450000.0,91000.0,660.0,,11,Nissan,Dayz,11
Toyota Corolla Altis Grande CVT-i 1.8 2017,2017,Petrol,Automatic,Sindh,Attitude Black,Local,Sedan,4850000.0,71000.0,1800.0,,15,Toyota,Corolla,8
Suzuki Wagon R VXL 2022,2022,Petrol,Manual,Lahore,Solid White,Local,Hatchback,3000000.0,90000.0,1000.0,,9,Suzuki,Wagon,3
Toyota Vitz F 1.0 2014,2014,Petrol,Automatic,Sindh,Polar White,Imported,Hatchback,2850000.0,144000.0,1000.0,,9,Toyota,Vitz,11
Toyota Corolla Altis Grande CVT-i 1.8 2017,2017,Petrol,Automatic,Islamabad,Graphite Grey,Local,Sedan,4640000.0,100000.0,1800.0,,15,Toyota,Corolla,8
Honda Civic Oriel Prosmatec UG 2016,2016,Petrol,Automatic,Islamabad,White,Local,Sedan,4950000.0,100000.0,1800.0,,15,Honda,Civic,9
Haval H6 HEV 2024,2024,Hybrid,Automatic,Karachi,Diamond Black,Local,SUV,11600000.0,5000.0,1500.0,,14,Haval,H6,1
Toyota Aqua G 2015,2015,Hybrid,Automatic,Karachi,Red Wine,Imported,Hatchback,3800000.0,163508.0,1500.0,,16,Toyota,Aqua,10
Mercedes Benz E Class E200 AMG 2021,2021,Petrol,Automatic,Un-Registered,White,Imported,Sedan,35500000.0,15000.0,2000.0,,13,Mercedes Benz,E,4
Toyota Corolla Altis Grande CVT-i 1.8 2020,2020,Petrol,Automatic,Sindh,White,Local,Sedan,5825000.0,58500.0,1800.0,,15,Toyota,Corolla,5
Toyota Hiace 1997,1997,Diesel,Manual,Karachi,White,Local,Unknown,2650000.0,190000.0,2500.0,,0,Toyota,Hiace,28
Toyota Corolla XLi VVTi 2017,2017,Petrol,Manual,Punjab,White,Local,Sedan,3749000.0,139318.0,1300.0,,5,Toyota,Corolla,8
Honda Civic VTi Prosmatec 1.6 2004,2004,Petrol,Automatic,Lahore,Canyon Stone Silver Metallic,Local,Sedan,1648999.9999999998,198000.0,1600.0,,11,Honda,Civic,21
Honda Fit Shuttle Hybrid 1.3 2012,2012,Hybrid,Automatic,Karachi,Black,Imported,Station Wagon,3200000.0,83000.0,1300.0,,11,Honda,Fit,13
Toyota Vitz F 1.0 2009,2009,Petrol,Automatic,Islamabad,Red,Imported,Hatchback,2480000.0,175000.0,1000.0,,12,Toyota,Vitz,16
Toyota Fortuner 2.8 Sigma 4 2021,2021,Diesel,Automatic,Karachi,Attitude Black,Local,SUV,16000000.0,52000.0,2800.0,,16,Toyota,Fortuner,4
Suzuki Cultus VXR 2020,2020,Petrol,Manual,Punjab,White,Local,Hatchback,3350000.0,55000.0,1000.0,,8,Suzuki,Cultus,5
Mercedes Benz G Class G 63 AMG 2020,2020,Petrol,Automatic,Un-Registered,Polar White,Imported,SUV,155000000.0,28000.0,4000.0,,21,Mercedes Benz,G,5
Toyota Premio F 1.5 2006,2006,Petrol,Automatic,Multan,Gold,Imported,Sedan,2750000.0,90000.0,1500.0,,11,Toyota,Premio,19
Toyota Surf SSR-X 2.7 1996,1996,Petrol,Automatic,Sindh,White,Imported,SUV,3900000.0,75000.0,2700.0,,11,Toyota,Surf,29
Nissan Dayz Highway Star X 2021,2021,Petrol,Automatic,Un-Registered,Burgundy,Imported,Hatchback,3279999.9999999995,40000.0,660.0,,12,Nissan,Dayz,4
Hyundai Santro Club 2005,2005,Petrol,Manual,Punjab,White,Local,Hatchback,1150000.0,143860.0,1000.0,,2,Hyundai,Santro,20
Suzuki Cultus Limited Edition 2016,2016,Petrol,Manual,Islamabad,Graphite Grey,Local,Hatchback,1900000.0,48000.0,1000.0,,6,Suzuki,Cultus,9
Suzuki Every 2020,2020,Petrol,Automatic,Lahore,Silver,Imported,Unknown,2250000.0,99000.0,660.0,,14,Suzuki,Every,5
Changan Karvaan Plus 2022,2022,Petrol,Manual,Punjab,Silver,Local,Mini Van,2590000.0,27500.0,1000.0,,7,Changan,Karvaan,3
Toyota Prius G Touring Selection 1.8 2010,2010,Hybrid,Automatic,Lahore,White,Imported,Sedan,4300000.0,145000.0,1800.0,,15,Toyota,Prius,15
Honda Civic 1.5 RS Turbo 2020,2020,Petrol,Automatic,Islamabad,Crystal Black Pearl,Local,Sedan,6250000.0,76125.0,1500.0,,15,Honda,Civic,5
Ford F 150 1976,1976,Petrol,Manual,Karachi,Black,Imported,Unknown,1200000.0,200.0,1800.0,,1,Ford,F,49
Toyota Vitz iLL 1.3 2007,2007,Petrol,Automatic,Islamabad,Silver,Imported,Hatchback,2450000.0,160.0,1300.0,,11,Toyota,Vitz,18
Suzuki Mehran VX 1999,1999,Petrol,Manual,Multan,Snow White Pearl,Local,Hatchback,495000.0,150000.0,800.0,,2,Suzuki,Mehran,26
MG HS Trophy 2023,2023,Petrol,Automatic,Islamabad,Pearl Black Metallic,Imported,Crossover,7198999.999999999,18000.0,1500.0,,18,MG,HS,2
Suzuki Every PZ Turbo 2019,2019,Petrol,Automatic,Un-Registered,White,Imported,Micro Van,3375000.0,138656.0,660.0,,14,Suzuki,Every,6
Honda Civic VTi 1.8 i-VTEC 2015,2015,Petrol,Manual,Karachi,Black,Local,Sedan,3475000.0,81500.0,1800.0,,11,Honda,Civic,10
Suzuki Cultus 2020,2020,Petrol,Automatic,Islamabad,Grey,Local,Unknown,3300000.0,82000.0,1000.0,,0,Suzuki,Cultus,5
Daihatsu Move L SA 3 2021,2021,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,3250000.0,59000.0,660.0,,12,Daihatsu,Move,4
Toyota Raize Z 2020,2020,Petrol,Automatic,Un-Registered,Turquoise Blue Metallic,Imported,Crossover,5490000.0,48500.0,1000.0,,0,Toyota,Raize,5
Toyota Prado TX 2.7 2012,2012,Petrol,Automatic,Islamabad,Super White,Imported,SUV,16500000.0,108731.0,2700.0,,19,Toyota,Prado,13
Toyota Aqua G LED Soft Leather Selection  2014,2014,Hybrid,Automatic,Islamabad,Turquoise,Imported,Hatchback,3485000.0,150000.0,1500.0,,12,Toyota,Aqua,11
Suzuki Liana RXi 2006,2006,Petrol,Manual,Karachi,Graphite Grey,Local,Sedan,975000.0,91000.0,1300.0,,10,Suzuki,Liana,19
Nissan Juke 15RX 2012,2012,Petrol,Automatic,Sindh,Black,Imported,SUV,3150000.0,153000.0,1500.0,,14,Nissan,Juke,13
Suzuki Wagon R VXL 2018,2018,Petrol,Manual,Lahore,Solid White,Local,Hatchback,2380000.0,74000.0,1000.0,,9,Suzuki,Wagon,7
Toyota Vitz F 1.0 2014,2014,Petrol,Automatic,Sindh,Blue,Imported,Hatchback,2725000.0,196421.0,1000.0,,13,Toyota,Vitz,11
Suzuki Mehran VXR Euro II 2018,2018,Petrol,Manual,Islamabad,Graphite Grey,Local,Hatchback,1700000.0,70000.0,796.0,,4,Suzuki,Mehran,7
Toyota Yaris Sedan ATIV X CVT 1.5 2021,2021,Petrol,Automatic,Sindh,Attitude Black,Local,Sedan,4700000.0,42941.0,1500.0,,13,Toyota,Yaris,4
Nissan Roox S Hybrid 2022,2022,Hybrid,Automatic,Un-Registered,White,Imported,Hatchback,3890000.0,31971.0,660.0,,21,Nissan,Roox,3
Suzuki Mehran 2008,2008,Petrol,Manual,Sindh,Blue,Local,Unknown,495000.0,56565.0,800.0,,0,Suzuki,Mehran,17
Toyota Land Cruiser ZX 2015,2015,Petrol,Automatic,Punjab,White,Imported,SUV,27500000.0,283894.0,4600.0,,17,Toyota,Land,10
Toyota Prius PHV (Plug In Hybrid) 2021,2021,Hybrid,Automatic,Punjab,Platinum Pearl White,Imported,Sedan,10300000.0,52797.0,1800.0,,25,Toyota,Prius,4
Toyota Raize G 2020,2020,Petrol,Automatic,Un-Registered,Burgundy,Imported,Crossover,5550000.0,6000.0,1000.0,,11,Toyota,Raize,5
Toyota Corolla XLi VVTi 2014,2014,Petrol,Manual,Sindh,Attitude Black,Local,Sedan,2675000.0,90000.0,1300.0,,7,Toyota,Corolla,11
Suzuki Jimny 2014,2014,Petrol,Automatic,Lahore,White,Imported,Unknown,2450000.0,77965.0,660.0,,9,Suzuki,Jimny,11
Toyota Fj Cruiser Automatic 2013,2013,Petrol,Automatic,Islamabad,Beige,Imported,Off-Road Vehicles,16500000.0,145000.0,4000.0,,14,Toyota,Fj,12
Toyota Probox F 2006,2006,Petrol,Automatic,Lahore,White,Imported,Station Wagon,2275000.0,271000.0,1500.0,,10,Toyota,Probox,19
Suzuki Mehran VXR Euro II 2017,2017,Petrol,Manual,Faisalabad,Graphite Grey,Local,Hatchback,1250000.0,100000.0,796.0,,4,Suzuki,Mehran,8
Daihatsu Taft 2021,2021,Petrol,Automatic,Un-Registered,Red,Imported,Unknown,4050000.0,6000.0,660.0,,9,Daihatsu,Taft,4
Honda City i-DSI 2005,2005,Petrol,Manual,Sindh,Grey,Local,Sedan,1750000.0,181000.0,1300.0,,7,Honda,City,20
Suzuki Vitara GLX 1.6 2019,2019,Petrol,Automatic,Sindh,Cool White Pearl,Local,SUV,4600000.0,34935.0,1600.0,,22,Suzuki,Vitara,6
Toyota Yaris Hatchback G 2022,2022,Petrol,Automatic,Un-Registered,Silver Metallic,Imported,Hatchback,4625000.0,56900.0,1500.0,,12,Toyota,Yaris,3
Suzuki Alto 2005,2005,Petrol,Manual,Rawalpindi,Silver,Imported,Unknown,795000.0,2600.0,1000.0,,3,Suzuki,Alto,20
Nissan Sunny 1984,1984,Petrol,Manual,Karachi,Red,Local,Unknown,220000.00000000003,10000.0,1300.0,,0,Nissan,Sunny,41
Nissan Note MEDALIST 2018,2018,Hybrid,Automatic,Punjab,Dark Metal Grey,Imported,Mini Van,4050000.0,189000.0,1198.0,,13,Nissan,Note,7
Toyota Passo G 1.3 2006,2006,Petrol,Automatic,Islamabad,Blue,Imported,Hatchback,1970000.0,86263.0,1300.0,,10,Toyota,Passo,19
Daihatsu Cuore CX Eco 2003,2003,Petrol,Manual,Karachi,Black,Local,Hatchback,919999.9999999999,125000.0,800.0,,4,Daihatsu,Cuore,22
Toyota Land Cruiser GX 4.2D 1992,1992,Diesel,Automatic,Islamabad,White,Imported,SUV,6300000.0,250000.0,4200.0,,13,Toyota,Land,33
Hyundai Santro 2000,2000,Petrol,Manual,Lahore,Red,Local,Unknown,715000.0,100000.0,1000.0,,0,Hyundai,Santro,25
Changan Oshan X7 FutureSense 2022,2022,Petrol,Automatic,Islamabad,Stellar White,Local,Compact SUV,7600000.0,51615.0,1500.0,,22,Changan,Oshan,3
Daihatsu Cuore CX Eco 2008,2008,Petrol,Manual,Lahore,Blue,Local,Hatchback,890000.0,100000.0,800.0,,5,Daihatsu,Cuore,17
Honda City i-DSI 2006,2006,Petrol,Manual,Karachi,Blue,Local,Sedan,1920000.0,185000.0,1300.0,,8,Honda,City,19
Suzuki Cultus Auto Gear Shift 2020,2020,Petrol,Automatic,Karachi,White,Local,Hatchback,3250000.0,113867.0,1000.0,,15,Suzuki,Cultus,5
Honda Civic EXi Automatic 1998,1998,Petrol,Automatic,Lahore,Blue,Local,Sedan,994999.9999999999,184000.0,1500.0,,8,Honda,Civic,27
Suzuki Alto VXR 2023,2023,Petrol,Manual,Abbottabad,Solid White,Local,Hatchback,2665000.0,42000.0,660.0,,8,Suzuki,Alto,2
Toyota Corolla GLi Automatic 1.3 VVTi 2016,2016,Petrol,Automatic,Lahore,Attitude Black,Local,Sedan,4350000.0,51050.0,1300.0,,11,Toyota,Corolla,9
Honda City 1.3 i-VTEC 2017,2017,Petrol,Manual,Adda jahan khan,Taffeta White,Local,Sedan,3600000.0,40000.0,1300.0,,12,Honda,City,8
Changan Alsvin 1.5L DCT Lumiere 2021,2021,Petrol,Automatic,Sindh,Space Gray,Local,Sedan,3350000.0,65000.0,1500.0,,19,Changan,Alsvin,4
Daihatsu Cast Activa G SA III 2022,2022,Petrol,Automatic,Un-Registered,Black,Imported,Hatchback,4000000.0,39000.0,660.0,,14,Daihatsu,Cast,3
Suzuki Cultus VXR 2021,2021,Petrol,Manual,Punjab,Silky Silver,Local,Hatchback,3400000.0,7894.0,1000.0,,12,Suzuki,Cultus,4
Toyota Corolla XLi 2007,2007,Petrol,Manual,Sindh,Black Mica,Local,Sedan,1550000.0,274423.0,1300.0,,7,Toyota,Corolla,18
Honda City 1.3 i-VTEC 2020,2020,Petrol,Manual,Islamabad,Taffeta White,Local,Sedan,3950000.0,60000.0,1300.0,,11,Honda,City,5
Toyota Corolla XLi VVTi Limited Edition 2010,2010,Petrol,Manual,Lahore,Black,Local,Sedan,2765000.0,87000.0,1300.0,,7,Toyota,Corolla,15
Honda Civic Oriel 2022,2022,Petrol,Automatic,Lahore,Black,Local,Sedan,7700000.0,32500.0,1500.0,,14,Honda,Civic,3
Toyota Raize Z 2020,2020,Petrol,Automatic,Lahore,Blue,Imported,Crossover,5690000.0,50800.0,1000.0,,19,Toyota,Raize,5
Haval H6 HEV 2023,2023,Hybrid,Automatic,Punjab,Diamond Black,Local,SUV,11000000.0,37000.0,1500.0,,14,Haval,H6,2
Toyota Yaris Sedan ATIV CVT 1.3 2022,2022,Petrol,Automatic,Islamabad,White,Local,Sedan,4550000.0,59500.0,1300.0,,12,Toyota,Yaris,3
Honda N One Premium Tourer 2022,2022,Petrol,Automatic,Un-Registered,Blue,Imported,Hatchback,3850000.0,10400.0,660.0,,21,Honda,N,3
Honda BR-V i-VTEC S 2021,2021,Petrol,Automatic,Sindh,Urban Titanium,Local,MPV,4980000.0,45117.0,1500.0,,19,Honda,BR-V,4
Toyota Raize Z 2020,2020,Petrol,Automatic,Punjab,Shining White Pearl,Imported,Crossover,5900000.0,116000.0,1000.0,,19,Toyota,Raize,5
Suzuki Mehran VXR Euro II 2018,2018,Petrol,Manual,Lahore,White,Local,Hatchback,1525000.0,88966.0,800.0,,3,Suzuki,Mehran,7
Haval H6 HEV 2024,2024,Hybrid,Automatic,Punjab,Diamond Black,Imported,SUV,11700000.0,20000.0,1500.0,,13,Haval,H6,1
Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,Sedan,6625000.0,61300.0,1800.0,,14,Honda,Civic,4
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Lahore,White,Local,Sedan,5450000.0,61000.0,1800.0,,16,Honda,Civic,7
Suzuki Mehran VXR Euro II 2016,2016,Petrol,Manual,Lahore,Graphite Grey,Local,Hatchback,1150000.0,121077.0,796.0,,6,Suzuki,Mehran,9
Suzuki Wagon R 2022,2022,Hybrid,Automatic,Un-Registered,Silver,Imported,Unknown,3650000.0,6600.0,660.0,,0,Suzuki,Wagon,3
Toyota Corolla XE 1995,1995,Petrol,Manual,Sindh,Grey,Local,Sedan,1220000.0,330000.0,1300.0,,5,Toyota,Corolla,30
Toyota Prado 1991,1991,Petrol,Automatic,Peshawar,Silver,Local,Unknown,1950000.0,95000.0,3400.0,,8,Toyota,Prado,34
Suzuki Cultus EURO II 2012,2012,Petrol,Manual,Sindh,Ash Green,Local,Hatchback,1400000.0,155555.0,1000.0,,8,Suzuki,Cultus,13
Honda City 1.5L ASPIRE CVT 2024,2024,Petrol,Automatic,Islamabad,Taffeta White,Local,Compact sedan,5850000.0,8274.0,1500.0,,20,Honda,City,1
Honda City Aspire Prosmatec 1.5 i-VTEC 2019,2019,Petrol,Automatic,Sindh,White,Local,Sedan,3925000.0,60000.0,1500.0,,13,Honda,City,6
Suzuki Alto VXR 2023,2023,Petrol,Manual,Punjab,Silky Silver,Local,Hatchback,2700000.0,14000.0,660.0,,7,Suzuki,Alto,2
Honda N Box 2022,2022,Petrol,Automatic,Un-Registered,White,Imported,Unknown,3600000.0,15195.0,660.0,,16,Honda,N,3
Suzuki Wagon R VXR 2016,2016,Petrol,Manual,Lahore,Silky Silver,Local,Hatchback,1825000.0,82000.0,1000.0,,5,Suzuki,Wagon,9
